Table Names,고유 ID,주문 번호,주문 일자,배송 일자,배송 방법,고객번호,고객명,고객 세그먼트,시군구,시도,국가,지역,제품 코드,제품 대분류,제품 중분류,제품명,매출,수량,할인율,수익,반품?,관리자
영업 실적 2019년.xlsx/영업 실적 2019년,1,IN-2019-27828,2019-08-27,2019-08-31,표준 배송,VT-21700,안현성,홈 오피스,서초구,서울특별시,대한민국,수도권,OFF-PA-10000026,사무용품,종이,"Eaton Cards & Envelopes, 8.5 x 11",201225.6,4,0,36108,Yes,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,2,IN-2019-27828,2019-08-27,2019-08-31,표준 배송,VT-21700,안현성,홈 오피스,서초구,서울특별시,대한민국,수도권,FUR-FU-10000944,가구,가구류,"Tenex Door Stop, Black",313374.6,7,0,21848.4,Yes,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,3,IN-2019-27828,2019-08-27,2019-08-31,표준 배송,VT-21700,안현성,홈 오피스,서초구,서울특별시,대한민국,수도권,TEC-CO-10002526,사무기기,복사기,"Sharp Wireless Fax, Digital",1450684.8,4,0,536724,Yes,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,4,IN-2019-27828,2019-08-27,2019-08-31,표준 배송,VT-21700,안현성,홈 오피스,서초구,서울특별시,대한민국,수도권,TEC-AC-10002255,사무기기,악세사리,"Memorex Keyboard, Erganomic",211599,3,0,80325,Yes,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,26,IN-2019-76464,2019-06-13,2019-06-15,특급 배송,DK-13090,노진헌,소비자,수영구,부산광역시,대한민국,영남,OFF-AR-10000027,사무용품,필기구,"Binney & Smith Pencil Sharpener, Easy-Erase",62390.034,3,0.27,10247.634,,최진수
영업 실적 2019년.xlsx/영업 실적 2019년,27,IN-2019-76464,2019-06-13,2019-06-15,특급 배송,DK-13090,노진헌,소비자,수영구,부산광역시,대한민국,영남,FUR-CH-10003009,가구,의자,"Novimex Swivel Stool, Adjustable",248621.94,2,0.27,-6826.86,,최진수
영업 실적 2019년.xlsx/영업 실적 2019년,34,IN-2019-55051,2019-07-30,2019-08-05,표준 배송,AM-10705,곽찬경,소비자,강남구,서울특별시,대한민국,수도권,OFF-LA-10002139,사무용품,라벨,"Novimex Color Coded Labels, Alphabetical",20724.768,2,0.17,222.768,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,35,IN-2019-55051,2019-07-30,2019-08-05,표준 배송,AM-10705,곽찬경,소비자,강남구,서울특별시,대한민국,수도권,TEC-AC-10001500,사무기기,악세사리,"Logitech Memory Card, Erganomic",273516.57,5,0.47,-211646.43,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,36,IN-2019-55051,2019-07-30,2019-08-05,표준 배송,AM-10705,곽찬경,소비자,강남구,서울특별시,대한민국,수도권,TEC-AC-10003750,사무기기,악세사리,"Memorex Memory Card, Erganomic",324619.488,6,0.47,-116387.712,,김성식
영업 실적 2019년.xlsx/영업 실적 2019년,37,IN-2019-55051,2019-07-30,2019-08-05,표준 배송,AM-10705,곽찬경,소비자,강남구,서울특별시,대한민국,수도권,TEC-CO-10001954,사무기기,복사기,"Brother Wireless Fax, Laser",243423.306,1,0.37,23164.506,,김성식
